Ano, Mes, Dia, Hora, U, V, UI
1967,4,25,18,-8.0216,-8.9867,1823.6
1967,4,26,0,-9.04,-8.18,1679.9
1967,4,26,6,-9.5594,-7.2396,1462.4
1967,4,26,12,-9.3591,-8.9852,1963.8
1967,4,26,18,-11.335,-10.594,2768.9
1967,4,27,0,-8.8805,-7.7774,1546.6
1967,4,27,6,-8.1235,-3.6161,541.66
1967,4,27,12,-6.5857,-5.3632,767.32
1967,4,27,18,-7.0032,-9.7934,1986.2
1967,4,28,0,-14.971,-4.0114,1047.3
1967,4,28,6,-17.167,-2.8006,820.6
1967,4,28,12,-13.294,-4.2817,1007.3
1967,4,28,18,-11.854,-9.6538,2486.1
1967,4,29,0,-17.568,0.69062,-204.54
1967,4,29,6,-12.296,-4.0143,874.65
1967,4,29,12,-11.617,-4.5521,956.74
1967,4,29,18,-10.619,-4.2847,826.46
1967,4,30,0,-8.2254,1.7544,-248.56
1967,4,30,6,-5.7303,2.423,-253.94
1967,4,30,12,-1.3783,2.1497,-92.472
1967,4,30,18,-1.0796,4.029,-283.1
1967,5,1,0,-1.0796,4.029,-283.1
1967,5,1,6,-2.5563,2.5538,-155.44
1967,5,1,12,-2.7938,-2.5479,162.29
1967,5,1,18,-0.23756,-5.1017,438.91
1967,5,2,0,1.5378,-1.7471,68.499
1967,5,2,6,-0.45826,-2.2819,89.469
1967,5,2,12,-1.1948,-7.5173,963.88
1967,5,2,18,-4.1482,-10.468,1985.5
1967,5,3,0,-8.6021,-4.8239,801.43
1967,5,3,6,-1.9349,-3.7572,267.48
1967,5,3,12,2.8957,-2.8227,192.28
1967,5,3,18,6.1886,-0.14107,14.71
1967,5,4,0,8.2831,4.0187,-623.25
1967,5,4,6,14.709,8.9793,-2606.7
1967,5,4,12,12.374,8.7134,-2221.3
1967,5,4,18,9.0808,6.0318,-1107.7
1967,5,5,0,8.5295,6.8916,-1273
1967,5,5,6,9.3015,3.212,-532.45
1967,5,5,12,7.4853,2.0057,-261.83
1967,5,5,18,6.8064,2.5435,-311.32
1967,5,6,0,6.9048,6.1684,-962.08
1967,5,6,6,9.461,3.6146,-616.7
1967,5,6,12,6.0867,5.2295,-706.91
1967,5,6,18,5.1701,0.66562,-58.449
1967,5,7,0,3.6323,2.4127,-177.23
1967,5,7,6,-0.71971,2.686,-125.82
1967,5,7,12,2.6343,2.1453,-122.77
1967,5,7,18,-0.89964,3.3575,-196.6
1967,5,8,0,1.2968,2.1468,-90.697
1967,5,8,6,0.77735,3.0871,-165.56
1967,5,8,12,-2.3152,-1.3401,60.386
1967,5,8,18,-5.109,-3.888,420.48
1967,5,9,0,-3.3132,-1.6075,99.72
1967,5,9,6,-4.3724,1.3474,-103.85
1967,5,9,12,-1.8773,2.016,-93.55
1967,5,9,18,-0.31909,-0.80522,11.748
1967,5,10,0,-2.855,0.67444,-33.329
1967,5,10,6,-2.0572,2.6875,-153.22
1967,5,10,12,-1.6974,1.3445,-49.041
1967,5,10,18,-8.2662,3.9027,-600.96
1967,5,11,0,-8.9655,5.5146,-977.79
1967,5,11,6,-6.5112,8.3313,-1484
1967,5,11,12,-7.4481,4.8416,-724.52
1967,5,11,18,-1.4394,5.372,-503.29
1967,5,12,0,-3.3371,8.4621,-1296.7
1967,5,12,6,-0.28184,6.0421,-615.64
1967,5,12,12,-0.26146,4.9679,-416.33
1967,5,12,18,-0.12229,6.4447,-699.78
1967,5,13,0,-1.599,4.9694,-437
1967,5,13,6,-1.9385,5.2383,-492.87
1967,5,13,12,-7.7264,1.8882,-252.98
1967,5,13,18,-4.6711,-0.53191,42.125
1967,5,14,0,-5.3501,0.0058829,-0.53019
1967,5,14,6,2.6954,-1.0771,52.664
1967,5,14,12,5.5504,-1.7515,171.72
1967,5,14,18,5.7303,-2.423,253.94
1967,5,15,0,4.352,-0.27331,20.076
1967,5,15,6,5.5096,0.39672,-36.916
1967,5,15,12,5.3297,1.0682,-97.814
1967,5,15,18,5.6488,1.8734,-187.82
1967,5,16,0,5.1498,1.7397,-159.3
1967,5,16,6,3.9718,2.1438,-163
1967,5,16,12,2.0165,-0.53926,18.961
1967,5,16,18,2.7362,-3.2253,229.8
1967,5,17,0,3.2556,-4.1657,371
1967,5,17,6,3.5747,-3.3605,277.73
1967,5,17,12,6.45,-5.109,708.16
1967,5,17,18,7.7468,-2.9623,413.87
1967,5,18,0,7.3869,-1.6193,206.28
1967,5,18,6,4.773,-4.8386,553.99
1967,5,18,12,1.7789,-5.6409,562.04
1967,5,18,18,-1.755,-4.4287,355.39
1967,5,19,0,-3.3336,-0.53338,30.333
1967,5,19,6,-2.8957,2.8227,-192.28
1967,5,19,12,1.5174,-0.67297,18.818
1967,5,19,18,0.96079,-6.5798,737.05
1967,5,20,0,-0.75697,-4.1613,296.48
1967,5,20,6,-2.6343,-2.1453,122.77
1967,5,20,12,-0.6178,-2.6845,124.57
1967,5,20,18,-0.098399,-3.6249,221.43
1967,5,21,0,0.99804,0.26742,-4.6547
1967,5,21,6,5.6488,1.8734,-187.82
1967,5,21,12,8.0251,-0.0088243,1.1929
1967,5,21,18,4.851,-0.1396,11.412
1967,5,22,0,3.354,-0.54073,30.945
1967,5,22,6,6.3481,0.26154,-27.992
1967,5,22,12,6.2497,-3.3634,402.12
1967,5,22,18,7.4481,-4.8416,724.52
1967,5,23,0,5.3297,1.0682,-97.814
1967,5,23,6,5.5708,-2.8256,297.32
1967,5,23,12,5.4316,-4.3023,502.18
1967,5,23,18,5.7507,-3.4971,396.5
